parcel_id,latitude,longitude,geometry,area_ha,perimeter_m,epsg_code,land_use,owner_id,boundary_wkt
PARCEL-0001,49.491622,2.384155,Polygon,3.64,1509.9,4326,Fallow,OWN-325,"POLYGON ((2.384155 49.491622, 2.3941549999999996 49.491622, 2.3941549999999996 49.501622, 2.384155 49.501622, 2.384155 49.491622))"
PARCEL-0002,48.528763,6.247046,Polygon,9.3,3287.4,4326,Arable,OWN-980,"POLYGON ((6.247046 48.528763, 6.257046 48.528763, 6.257046 48.538762999999996, 6.247046 48.538762999999996, 6.247046 48.528763))"
PARCEL-0003,49.821714,5.084937,Polygon,42.13,16837.4,4326,Fallow,OWN-235,"POLYGON ((5.084937 49.821714, 5.094937 49.821714, 5.094937 49.831714, 5.084937 49.831714, 5.084937 49.821714))"
PARCEL-0004,51.39341,7.294298,Polygon,86.64,34399.0,4326,Vineyard,OWN-926,"POLYGON ((7.294298 51.39341, 7.304298 51.39341, 7.304298 51.40341, 7.294298 51.40341, 7.294298 51.39341))"
PARCEL-0005,50.12824,2.565955,Polygon,99.02,39462.3,4326,Vineyard,OWN-578,"POLYGON ((2.565955 50.12824, 2.575955 50.12824, 2.575955 50.138239999999996, 2.565955 50.138239999999996, 2.565955 50.12824))"
PARCEL-0006,51.955347,2.325027,Polygon,98.19,39422.2,4326,Arable,OWN-512,"POLYGON ((2.325027 51.955347, 2.3350269999999997 51.955347, 2.3350269999999997 51.965347, 2.325027 51.965347, 2.325027 51.955347))"
PARCEL-0007,51.412854,6.803555,Polygon,16.84,6427.6,4326,Fallow,OWN-559,"POLYGON ((6.803555 51.412854, 6.813555 51.412854, 6.813555 51.422854, 6.803555 51.422854, 6.803555 51.412854))"
PARCEL-0008,49.060729,3.100928,Polygon,69.66,28238.5,4326,Arable,OWN-553,"POLYGON ((3.100928 49.060729, 3.110928 49.060729, 3.110928 49.070729, 3.100928 49.070729, 3.100928 49.060729))"
PARCEL-0009,51.732089,7.135801,Polygon,15.14,6208.1,4326,Fallow,OWN-956,"POLYGON ((7.135801 51.732089, 7.145801 51.732089, 7.145801 51.742089, 7.135801 51.742089, 7.135801 51.732089))"
PARCEL-0010,48.559031,2.559577,Polygon,113.16,45000.4,4326,Vineyard,OWN-597,"POLYGON ((2.559577 48.559031, 2.5695769999999998 48.559031, 2.5695769999999998 48.569030999999995, 2.559577 48.569030999999995, 2.559577 48.559031))"
PARCEL-0011,50.425434,7.187902,Polygon,135.42,53832.6,4326,Arable,OWN-499,"POLYGON ((7.187902 50.425434, 7.197902 50.425434, 7.197902 50.435434, 7.187902 50.435434, 7.187902 50.425434))"
PARCEL-0012,49.560812,6.704424,Polygon,68.52,27331.0,4326,Forest,OWN-902,"POLYGON ((6.704424 49.560812, 6.714424 49.560812, 6.714424 49.570812, 6.704424 49.570812, 6.704424 49.560812))"
PARCEL-0013,50.723073,6.31045,Polygon,23.64,9252.7,4326,Arable,OWN-693,"POLYGON ((6.31045 50.723073, 6.32045 50.723073, 6.32045 50.733073, 6.31045 50.733073, 6.31045 50.723073))"
PARCEL-0014,51.442949,2.365745,Polygon,47.38,18502.1,4326,Vineyard,OWN-614,"POLYGON ((2.365745 51.442949, 2.3757449999999998 51.442949, 2.3757449999999998 51.452949, 2.365745 51.452949, 2.365745 51.442949))"
PARCEL-0015,52.177549,5.186757,Polygon,9.0,3607.8,4326,Pasture,OWN-170,"POLYGON ((5.186757 52.177549, 5.196757 52.177549, 5.196757 52.187549, 5.186757 52.187549, 5.186757 52.177549))"
