station_id,date,time,timestamp,temperature_c,rainfall_mm,humidity_pct,wind_speed_ms,solar_radiation_wm2,pressure_hpa,dewpoint_c
WS-NL-01,2023-01-01,12:00:00,2023-01-01T12:00:00Z,18.8,16.9,45.3,2.2,806.7,1001.1,7.8
WS-DE-02,2023-01-01,12:00:00,2023-01-01T12:00:00Z,19.8,10.5,67.9,8.1,844.5,999.2,11.5
WS-FR-03,2023-01-01,12:00:00,2023-01-01T12:00:00Z,4.5,9.9,73.7,4.8,318.8,1023.8,-7.8
WS-NL-01,2023-01-02,12:00:00,2023-01-02T12:00:00Z,13.3,25.0,94.7,1.6,231.2,1001.9,18.0
WS-DE-02,2023-01-02,12:00:00,2023-01-02T12:00:00Z,30.2,22.0,54.0,2.8,758.7,1021.7,8.4
WS-FR-03,2023-01-02,12:00:00,2023-01-02T12:00:00Z,34.5,16.3,30.5,12.3,304.5,1019.9,18.2
WS-NL-01,2023-01-03,12:00:00,2023-01-03T12:00:00Z,0.4,2.9,37.0,8.5,281.5,1017.2,11.5
WS-DE-02,2023-01-03,12:00:00,2023-01-03T12:00:00Z,3.1,15.9,47.2,7.6,819.5,1028.1,-7.2
WS-FR-03,2023-01-03,12:00:00,2023-01-03T12:00:00Z,11.9,6.9,30.2,11.7,591.5,1001.8,12.2
WS-NL-01,2023-01-04,12:00:00,2023-01-04T12:00:00Z,17.1,10.7,30.6,1.6,800.6,1030.7,6.4
WS-DE-02,2023-01-04,12:00:00,2023-01-04T12:00:00Z,28.4,14.6,39.6,2.3,312.0,1030.5,13.9
WS-FR-03,2023-01-04,12:00:00,2023-01-04T12:00:00Z,29.4,22.5,43.7,4.1,137.4,1025.1,16.5
WS-NL-01,2023-01-05,12:00:00,2023-01-05T12:00:00Z,11.3,15.5,40.0,14.0,784.9,1033.9,14.3
WS-DE-02,2023-01-05,12:00:00,2023-01-05T12:00:00Z,30.3,0.6,77.9,5.3,841.2,1026.1,15.9
WS-FR-03,2023-01-05,12:00:00,2023-01-05T12:00:00Z,27.4,6.7,81.2,2.1,791.3,1028.6,-3.3
WS-NL-01,2023-01-06,12:00:00,2023-01-06T12:00:00Z,27.7,11.5,49.8,12.0,243.5,991.1,-4.2
WS-DE-02,2023-01-06,12:00:00,2023-01-06T12:00:00Z,8.1,21.6,92.8,4.5,595.3,1008.0,19.4
WS-FR-03,2023-01-06,12:00:00,2023-01-06T12:00:00Z,16.4,23.5,37.5,14.6,201.8,1033.3,-2.0
WS-NL-01,2023-01-07,12:00:00,2023-01-07T12:00:00Z,-0.7,10.9,77.4,5.0,565.3,1013.0,1.6
