plot_id,crop_variety,soil_type,ph_level,organic_matter_pct,nitrogen_mg_kg,phosphorus_mg_kg,potassium_mg_kg,texture,drainage_class
P-001,Sugar Beet,Loam,5.6,2.7,25.6,34.5,185.3,Coarse,Well drained
P-002,Potato,Silt Loam,5.6,1.9,26.3,29.1,162.2,Coarse,Poorly drained
P-003,Sugar Beet,Clay,6.5,3.5,29.5,39.8,201.8,Fine,Poorly drained
P-004,Maize,Sandy Loam,6.2,2.5,63.4,9.1,126.0,Medium,Moderately drained
P-005,Potato,Sandy Loam,7.5,4.8,47.5,43.9,125.7,Coarse,Moderately drained
P-006,Sugar Beet,Clay,7.7,3.1,23.5,7.8,182.3,Medium,Well drained
P-007,Spring Barley,Loam,6.5,3.5,68.4,11.5,121.1,Coarse,Moderately drained
P-008,Sugar Beet,Loam,7.0,2.3,61.0,11.5,125.9,Coarse,Poorly drained
P-009,Potato,Clay Loam,7.2,5.3,64.3,14.2,56.4,Medium,Moderately drained
P-010,Oilseed Rape,Loam,6.0,5.7,71.3,17.6,181.1,Medium,Poorly drained
P-011,Maize,Clay Loam,6.2,2.6,49.3,15.5,166.9,Coarse,Moderately drained
P-012,Oilseed Rape,Clay Loam,8.0,2.1,44.5,35.2,222.2,Fine,Poorly drained
P-013,Spring Barley,Silt Loam,7.0,3.2,51.7,23.7,100.3,Coarse,Well drained
P-014,Sugar Beet,Loam,7.2,3.9,28.7,30.6,72.3,Medium,Well drained
P-015,Maize,Loam,7.9,5.4,28.4,25.0,85.7,Fine,Poorly drained
P-016,Oilseed Rape,Clay,7.0,2.2,63.4,26.6,205.7,Coarse,Well drained
P-017,Potato,Sandy Loam,6.7,2.0,35.4,44.4,211.4,Fine,Well drained
P-018,Spring Barley,Clay,7.9,1.9,44.0,7.8,202.1,Fine,Well drained
P-019,Sugar Beet,Silt Loam,7.9,2.2,46.9,29.3,242.9,Coarse,Poorly drained
P-020,Sugar Beet,Clay Loam,7.3,3.3,57.0,19.9,229.9,Medium,Well drained
