field_id,crop,variety,harvest_year,yield_t_ha,production_total_t,field_area_ha,moisture_content_pct,protein_content_pct,oil_content_pct,grading_score,input_cost_eur_ha
F-001,Spring Barley,RGT Planet,2022,6.58,373.1,56.7,12.5,13.5,,1,862.0
F-002,Sunflower,NK Ferti,2021,5.6,148.4,26.5,13.1,14.2,43.3,3,651.0
F-003,Grain Maize,P9903,2023,8.08,608.4,75.3,20.1,12.7,,3,965.0
F-004,Oilseed Rape,Aurelia,2022,8.11,897.0,110.6,13.8,10.4,39.2,2,955.0
F-005,Sunflower,P64LE25,2024,8.17,406.0,49.7,15.1,11.9,43.4,3,1145.0
F-006,Spring Barley,RGT Planet,2022,7.15,491.9,68.8,13.8,11.7,,1,1092.0
F-007,Winter Wheat,Cellule,2024,4.35,264.0,60.7,14.9,12.0,,3,1072.0
F-008,Grain Maize,P8567,2023,7.87,190.5,24.2,10.4,10.3,,2,535.0
F-009,Grain Maize,P9903,2021,9.84,688.8,70.0,16.9,10.6,,3,1059.0
F-010,Oilseed Rape,Aurelia,2024,9.69,652.1,67.3,16.6,14.9,39.0,3,1001.0
F-011,Oilseed Rape,PT303,2023,2.81,296.7,105.6,20.3,9.5,46.7,1,1021.0
F-012,Spring Barley,Concerto,2023,9.51,276.7,29.1,20.3,12.7,,2,533.0
F-013,Spring Barley,RGT Planet,2023,10.23,974.9,95.3,16.4,12.6,,1,659.0
F-014,Soybean,Apolo,2021,7.94,307.3,38.7,11.6,13.5,42.1,1,1194.0
F-015,Soybean,Merlin,2022,10.73,210.3,19.6,18.5,14.0,45.6,3,714.0
F-016,Spring Barley,Laureate,2024,5.05,360.6,71.4,15.4,12.8,,1,722.0
F-017,Soybean,Sultana,2024,11.4,421.8,37.0,21.4,11.0,38.0,3,475.0
F-018,Grain Maize,P8567,2024,9.12,711.4,78.0,12.6,11.6,,1,796.0
F-019,Oilseed Rape,Aurelia,2022,5.71,572.7,100.3,16.8,11.9,41.4,3,1010.0
F-020,Winter Wheat,Cellule,2021,9.95,164.2,16.5,11.5,14.1,,2,765.0
